Año,Trimestre,Provincia,Accesos_100_hogares,KPI_hogares_2%,Fibra_optica,KPI_fibra_10%,Accesos_100_hab,ADSL,Cablemodem,Wireless,Otros,Total
2023,1,Buenos Aires,79.0,80.58,1551074.0,1783735.0999999999,26.81,304583.0,2761043.0,132458.0,71770.0,4820928.0
2023,1,Capital Federal,122.59,125.04180000000001,156222.0,179655.3,50.23,132149.0,1223930.0,4605.0,31823.0,1548729.0
2023,1,Catamarca,66.17,67.49340000000001,50230.0,57764.49999999999,16.83,6980.0,10655.0,1384.0,2243.0,71492.0
2023,1,Chaco,43.15,44.013,49756.0,57219.399999999994,11.53,21243.0,60727.0,8142.0,2574.0,142442.0
2023,1,Chubut,85.89,87.6078,9815.0,11287.25,26.32,45448.0,73525.0,30521.0,10744.0,170053.0
2023,1,Córdoba,88.84,90.61680000000001,386297.0,444241.55,27.2,136976.0,455139.0,61066.0,10494.0,1049972.0
2023,1,Corrientes,52.05,53.091,30016.0,34518.399999999994,13.71,29577.0,81116.0,11071.0,5240.0,157020.0
2023,1,Entre Ríos,64.79,66.0858,44508.0,51184.2,19.37,51084.0,141699.0,26415.0,11172.0,274878.0
2023,1,Formosa,38.79,39.5658,13345.0,15346.749999999998,9.87,12502.0,17421.0,17490.0,227.0,60985.0
2023,1,Jujuy,58.2,59.364000000000004,46271.0,53211.649999999994,14.88,15306.0,51082.0,4067.0,1255.0,117981.0
2023,1,La Pampa,96.55,98.481,28126.0,32344.899999999998,31.81,7049.0,59944.0,20103.0,1282.0,116504.0
2023,1,La Rioja,79.74,81.3348,20722.0,23830.3,21.23,4652.0,54604.0,6395.0,32.0,86405.0
2023,1,Mendoza,51.4,52.428,152534.0,175414.09999999998,14.34,37646.0,73678.0,27592.0,1569.0,293019.0
2023,1,Misiones,53.97,55.0494,56619.0,65111.85,14.7,30455.0,82834.0,12896.0,7881.0,190685.0
