Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3,4414,4,4746,127,0,0,2,9296
BUENOS AIRES,Almirante Brown,San Jose,6028010,2,9017,1,1166,0,3,0,1,10190
BUENOS AIRES,Arrecifes,Arrecifes,6077010,773,1286,12,6903,0,1,0,1325,10300
BUENOS AIRES,Arrecifes,Todd,6077020,0,0,0,341,0,0,0,0,341
BUENOS AIRES,Arrecifes,Viña,6077030,50,0,0,0,0,0,0,30,80
BUENOS AIRES,Avellaneda,Avellaneda,6035010,903,8579,46,7418,72,8,0,79,17105
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4848,0,3050,2,0,0,0,7901
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,632,0,1946,12,0,0,26,2627
BUENOS AIRES,Avellaneda,Gerli,6035010,3,5769,0,4915,0,0,0,0,10687
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5734,1,2738,0,0,0,0,8482
BUENOS AIRES,Avellaneda,Sarandí,6035010,703,9600,60,13834,4,1,0,1,24203
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,15,8495,2,7630,11,0,0,600,16753
BUENOS AIRES,Avellaneda,Wilde,6035010,330,12072,62,16730,8,0,0,100,29302
BUENOS AIRES,Ayacucho,Ayacucho,6042010,1834,0,2,0,0,0,0,142,1978
BUENOS AIRES,Ayacucho,La Constancia,6042020,0,0,0,0,0,0,0,10,10
BUENOS AIRES,Ayacucho,Solanet,6042030,0,0,0,0,0,0,0,27,27
BUENOS AIRES,Ayacucho,Udaquiola,6042040,0,0,0,0,0,1,0,46,47
BUENOS AIRES,Azul,Azul,6049020,1692,14796,48,77,14,2,0,1145,17774
BUENOS AIRES,Azul,Cacharí,6049030,0,0,2,0,0,0,0,521,523
BUENOS AIRES,Azul,Chillar,6049040,0,0,0,0,0,1,0,565,566
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,3774,104843,388,14178,64,8,0,2764,126019
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,0,193,4,210,2,0,0,66,475
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,320,1619,1,2,0,0,0,15,1957
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,0,0,0,1,0,3,0,0,4
BUENOS AIRES,Balcarce,Balcarce,6063010,1347,11787,36,45,9,0,0,883,14107
BUENOS AIRES,Balcarce,Los Pinos,6063020,0,0,0,0,9,0,0,30,39
BUENOS AIRES,Balcarce,Napaleofú,6063030,0,0,0,15,0,0,0,107,122
BUENOS AIRES,Balcarce,Ramos Otero,6063040,0,0,0,0,0,0,0,8,8
BUENOS AIRES,Balcarce,San Agustín,6063050,0,0,0,0,3,0,0,72,75
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,0,0,0,0,0,0,0,42,42
BUENOS AIRES,Baradero,Baradero,6070010,1172,7356,0,10,0,2,0,827,9367
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,104,0,0,0,0,0,0,150,254
